cell_idx,low_b0,high_b0,b2,low_l,high_l,low_omega,high_omega,delta_l,delta_omega,cos_sim
0,0,0,8,9,9,0.313977,0.313977,0,0.000000,1.000000
1,0,4,8,9,9,0.313977,0.295373,0,0.018604,1.000000
2,0,8,8,9,10,0.313977,0.277880,1,0.036097,0.987532
3,0,12,8,9,11,0.313977,0.261437,2,0.052540,0.957720
4,0,16,8,9,11,0.313977,0.245974,2,0.068003,0.957720
5,0,20,8,9,12,0.313977,0.231466,3,0.082511,0.954119
6,0,24,8,9,13,0.313977,0.217851,4,0.096126,0.801020
7,0,28,8,9,14,0.313977,0.205052,5,0.108925,0.797819
8,0,32,8,9,15,0.313977,0.192561,6,0.121416,0.794403
9,0,36,8,9,16,0.313977,0.181151,7,0.132826,0.734962
10,0,40,8,9,17,0.313977,0.170413,8,0.143564,0.731091
11,0,44,8,9,18,0.313977,0.160315,9,0.153662,0.609835
12,0,48,8,9,19,0.313977,0.150809,10,0.163168,0.607893
13,0,52,8,9,20,0.313977,0.141881,11,0.172096,0.604020
14,0,56,8,9,21,0.313977,0.133455,12,0.180522,0.556244
15,0,60,8,9,23,0.313977,0.125557,14,0.188420,0.479235
16,0,64,8,9,24,0.313977,0.118155,15,0.195822,0.475977
17,0,68,8,9,26,0.313977,0.111187,17,0.202790,0.446252
18,0,72,8,9,27,0.313977,0.104659,18,0.209318,0.443621
19,0,76,8,9,29,0.313977,0.098558,20,0.215419,0.385358
20,0,80,8,9,31,0.313977,0.092495,22,0.221482,0.365365
21,0,84,8,9,33,0.313977,0.087003,24,0.226974,0.324358
22,0,88,8,9,35,0.313977,0.081838,26,0.232139,0.308884
23,0,92,8,9,37,0.313977,0.076988,28,0.236989,0.295049
24,0,96,8,9,40,0.313977,0.072433,31,0.241544,0.281429
25,0,100,8,9,42,0.313977,0.068141,33,0.245836,0.279943
26,0,104,8,9,45,0.313977,0.064101,36,0.249876,0.255188
27,0,108,8,9,48,0.313977,0.060319,39,0.253658,0.245478
28,0,112,8,9,51,0.313977,0.056756,42,0.257221,0.236817
29,0,116,8,9,54,0.313977,0.053413,45,0.260564,0.235173
30,4,4,8,9,9,0.295373,0.295373,0,0.000000,1.000000
31,4,8,8,9,10,0.295373,0.277880,1,0.017493,0.987532
32,4,12,8,9,11,0.295373,0.261437,2,0.033936,0.957720
33,4,16,8,9,11,0.295373,0.245974,2,0.049399,0.957720
34,4,20,8,9,12,0.295373,0.231466,3,0.063907,0.954119
35,4,24,8,9,13,0.295373,0.217851,4,0.077522,0.801020
36,4,28,8,9,14,0.295373,0.205052,5,0.090321,0.797819
37,4,32,8,9,15,0.295373,0.192561,6,0.102812,0.794403
38,4,36,8,9,16,0.295373,0.181151,7,0.114222,0.734962
39,4,40,8,9,17,0.295373,0.170413,8,0.124960,0.731091
40,4,44,8,9,18,0.295373,0.160315,9,0.135058,0.609835
41,4,48,8,9,19,0.295373,0.150809,10,0.144564,0.607893
42,4,52,8,9,20,0.295373,0.141881,11,0.153492,0.604020
43,4,56,8,9,21,0.295373,0.133455,12,0.161918,0.556244
44,4,60,8,9,23,0.295373,0.125557,14,0.169816,0.479235
45,4,64,8,9,24,0.295373,0.118155,15,0.177218,0.475977
46,4,68,8,9,26,0.295373,0.111187,17,0.184186,0.446252
47,4,72,8,9,27,0.295373,0.104659,18,0.190714,0.443621
48,4,76,8,9,29,0.295373,0.098558,20,0.196815,0.385358
49,4,80,8,9,31,0.295373,0.092495,22,0.202878,0.365365
50,4,84,8,9,33,0.295373,0.087003,24,0.208370,0.324358
51,4,88,8,9,35,0.295373,0.081838,26,0.213535,0.308884
52,4,92,8,9,37,0.295373,0.076988,28,0.218385,0.295049
53,4,96,8,9,40,0.295373,0.072433,31,0.222940,0.281429
54,4,100,8,9,42,0.295373,0.068141,33,0.227232,0.279943
55,4,104,8,9,45,0.295373,0.064101,36,0.231272,0.255188
56,4,108,8,9,48,0.295373,0.060319,39,0.235054,0.245478
57,4,112,8,9,51,0.295373,0.056756,42,0.238617,0.236817
58,4,116,8,9,54,0.295373,0.053413,45,0.241960,0.235173
59,8,8,8,10,10,0.277880,0.277880,0,0.000000,1.000000
60,8,12,8,10,11,0.277880,0.261437,1,0.016443,0.962258
61,8,16,8,10,11,0.277880,0.245974,1,0.031906,0.962258
62,8,20,8,10,12,0.277880,0.231466,2,0.046414,0.959462
63,8,24,8,10,13,0.277880,0.217851,3,0.060029,0.825127
64,8,28,8,10,14,0.277880,0.205052,4,0.072828,0.810830
65,8,32,8,10,15,0.277880,0.192561,5,0.085319,0.807358
66,8,36,8,10,16,0.277880,0.181151,6,0.096729,0.762107
67,8,40,8,10,17,0.277880,0.170413,7,0.107467,0.756477
68,8,44,8,10,18,0.277880,0.160315,8,0.117565,0.622408
69,8,48,8,10,19,0.277880,0.150809,9,0.127071,0.620426
70,8,52,8,10,20,0.277880,0.141881,10,0.135999,0.618030
71,8,56,8,10,21,0.277880,0.133455,11,0.144425,0.616308
72,8,60,8,10,23,0.277880,0.125557,13,0.152323,0.504317
73,8,64,8,10,24,0.277880,0.118155,14,0.159725,0.500889
74,8,68,8,10,26,0.277880,0.111187,16,0.166693,0.489775
75,8,72,8,10,27,0.277880,0.104659,17,0.173221,0.486887
76,8,76,8,10,29,0.277880,0.098558,19,0.179322,0.432572
77,8,80,8,10,31,0.277880,0.092495,21,0.185385,0.405825
78,8,84,8,10,33,0.277880,0.087003,23,0.190877,0.373466
79,8,88,8,10,35,0.277880,0.081838,25,0.196042,0.356663
80,8,92,8,10,37,0.277880,0.076988,27,0.200892,0.327502
81,8,96,8,10,40,0.277880,0.072433,30,0.205447,0.313060
82,8,100,8,10,42,0.277880,0.068141,32,0.209739,0.311407
83,8,104,8,10,45,0.277880,0.064101,35,0.213779,0.290978
84,8,108,8,10,48,0.277880,0.060319,38,0.217561,0.266744
85,8,112,8,10,51,0.277880,0.056756,41,0.221124,0.257332
86,8,116,8,10,54,0.277880,0.053413,44,0.224467,0.254572
87,12,12,8,11,11,0.261437,0.261437,0,0.000000,1.000000
88,12,16,8,11,11,0.261437,0.245974,0,0.015463,1.000000
89,12,20,8,11,12,0.261437,0.231466,1,0.029971,0.995544
90,12,24,8,11,13,0.261437,0.217851,2,0.043586,0.912477
91,12,28,8,11,14,0.261437,0.205052,3,0.056385,0.908050
92,12,32,8,11,15,0.261437,0.192561,4,0.068876,0.904526
93,12,36,8,11,16,0.261437,0.181151,5,0.080286,0.856708
94,12,40,8,11,17,0.261437,0.170413,6,0.091024,0.855026
