cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms
0,0,0,8,9,9,0,0.000000,1.000000,1006.0,627.2,944.0,622.3,1.0078,1.0657,627.2,622.3
1,0,4,8,9,9,0,0.018604,1.000000,1028.0,630.2,973.0,614.9,1.0248,1.0565,627.2,622.3
2,0,8,8,9,10,1,0.036097,0.987532,946.0,488.2,924.0,520.6,0.9378,1.0238,627.2,622.3
3,0,12,8,9,11,2,0.052540,0.957720,917.0,436.9,940.0,514.5,0.8491,0.9755,627.2,622.3
4,0,16,8,9,11,2,0.068003,0.957720,919.0,422.5,925.0,511.2,0.8265,0.9935,627.2,622.3
5,0,20,8,9,12,3,0.082511,0.954119,941.0,436.9,1007.0,560.8,0.7791,0.9345,627.2,622.3
6,0,24,8,9,13,4,0.096126,0.801020,932.0,443.9,924.0,530.5,0.8369,1.0087,627.2,622.3
7,0,28,8,9,14,5,0.108925,0.797819,942.0,456.6,962.0,527.0,0.8663,0.9792,627.2,622.3
8,0,32,8,9,15,6,0.121416,0.794403,1045.0,460.8,1092.0,555.9,0.8290,0.9570,627.2,622.3
9,0,36,8,9,16,7,0.132826,0.734962,1044.0,492.0,960.0,525.2,0.9367,1.0875,627.2,622.3
10,0,40,8,9,17,8,0.143564,0.731091,989.0,494.6,951.0,516.2,0.9582,1.0400,627.2,622.3
11,0,44,8,9,18,9,0.153662,0.609835,986.0,484.5,1132.0,521.6,0.9289,0.8710,627.2,622.3
12,0,48,8,9,19,10,0.163168,0.607893,1110.0,470.6,1097.0,514.1,0.9154,1.0119,627.2,622.3
13,0,52,8,9,20,11,0.172096,0.604020,1036.0,460.2,1028.0,511.6,0.8996,1.0078,627.2,622.3
14,0,56,8,9,21,12,0.180522,0.556244,1110.0,491.0,1009.0,517.2,0.9493,1.1001,627.2,622.3
15,0,60,8,9,23,14,0.188420,0.479235,1187.0,480.1,1161.0,520.8,0.9218,1.0224,627.2,622.3
16,0,64,8,9,24,15,0.195822,0.475977,1182.0,482.7,1131.0,524.2,0.9210,1.0451,627.2,622.3
17,0,68,8,9,26,17,0.202790,0.446252,1286.0,466.0,1075.0,519.7,0.8967,1.1963,627.2,622.3
18,0,72,8,9,27,18,0.209318,0.443621,1288.0,460.4,1139.0,519.6,0.8861,1.1308,627.2,622.3
19,0,76,8,9,29,20,0.215419,0.385358,1386.0,462.2,1184.0,510.4,0.9055,1.1706,627.2,622.3
