cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms,chip_atten,ours_atten,excess_atten
0,0.0,0.0,8.0,9.0,9.0,0.0,0.0,1.0,1006.0,627.2,944.0,622.3,1.0078,1.0657,627.2,622.3,0.0,0.0,0.0
1,0.0,4.0,8.0,9.0,9.0,0.0,0.018604,1.0,1028.0,630.2,973.0,614.9,1.0248,1.0565,627.2,622.3,-0.004783163265306145,0.011891370721516914,-0.01667453398682306
2,0.0,8.0,8.0,9.0,10.0,1.0,0.036097,0.987532,946.0,488.2,924.0,520.6,0.9378,1.0238,627.2,622.3,0.2216198979591838,0.16342600032138832,0.05819389763779548
3,0.0,12.0,8.0,9.0,11.0,2.0,0.05254,0.95772,917.0,436.9,940.0,514.5,0.8491,0.9755,627.2,622.3,0.30341198979591844,0.17322834645669283,0.1301836433392256
4,0.0,16.0,8.0,9.0,11.0,2.0,0.068003,0.95772,919.0,422.5,925.0,511.2,0.8265,0.9935,627.2,622.3,0.3263711734693878,0.17853125502169365,0.14783991844769417
5,0.0,20.0,8.0,9.0,12.0,3.0,0.082511,0.954119,941.0,436.9,1007.0,560.8,0.7791,0.9345,627.2,622.3,0.30341198979591844,0.0988269323477422,0.20458505744817623
6,0.0,24.0,8.0,9.0,13.0,4.0,0.096126,0.80102,932.0,443.9,924.0,530.5,0.8369,1.0087,627.2,622.3,0.29225127551020413,0.14751727462638597,0.14473400088381816
7,0.0,28.0,8.0,9.0,14.0,5.0,0.108925,0.797819,942.0,456.6,962.0,527.0,0.8663,0.9792,627.2,622.3,0.27200255102040816,0.15314157158926556,0.1188609794311426
8,0.0,32.0,8.0,9.0,15.0,6.0,0.121416,0.794403,1045.0,460.8,1092.0,555.9,0.829,0.957,627.2,622.3,0.26530612244897966,0.10670094809577368,0.15860517435320598
9,0.0,36.0,8.0,9.0,16.0,7.0,0.132826,0.734962,1044.0,492.0,960.0,525.2,0.9367,1.0875,627.2,622.3,0.21556122448979598,0.15603406717017498,0.059527157319620994
10,0.0,40.0,8.0,9.0,17.0,8.0,0.143564,0.731091,989.0,494.6,951.0,516.2,0.9582,1.04,627.2,622.3,0.21141581632653061,0.17049654507472267,0.04091927125180794
11,0.0,44.0,8.0,9.0,18.0,9.0,0.153662,0.609835,986.0,484.5,1132.0,521.6,0.9289,0.871,627.2,622.3,0.22751913265306123,0.16181905833199417,0.06570007432106706
12,0.0,48.0,8.0,9.0,19.0,10.0,0.163168,0.607893,1110.0,470.6,1097.0,514.1,0.9154,1.0119,627.2,622.3,0.24968112244897966,0.17387112325245047,0.0758099991965292
13,0.0,52.0,8.0,9.0,20.0,11.0,0.172096,0.60402,1036.0,460.2,1028.0,511.6,0.8996,1.0078,627.2,622.3,0.2662627551020409,0.1778884782259359,0.088374276876105
14,0.0,56.0,8.0,9.0,21.0,12.0,0.180522,0.556244,1110.0,491.0,1009.0,517.2,0.9493,1.1001,627.2,622.3,0.217155612244898,0.16888960308532852,0.04826600915956947
15,0.0,60.0,8.0,9.0,23.0,14.0,0.18842,0.479235,1187.0,480.1,1161.0,520.8,0.9218,1.0224,627.2,622.3,0.23453443877551017,0.16310461192350956,0.07142982685200061
16,0.0,64.0,8.0,9.0,24.0,15.0,0.195822,0.475977,1182.0,482.7,1131.0,524.2,0.921,1.0451,627.2,622.3,0.23038903061224503,0.15764100915956925,0.07274802145267578
17,0.0,68.0,8.0,9.0,26.0,17.0,0.20279,0.446252,1286.0,466.0,1075.0,519.7,0.8967,1.1963,627.2,622.3,0.25701530612244905,0.16487224811184298,0.09214305801060607
18,0.0,72.0,8.0,9.0,27.0,18.0,0.209318,0.443621,1288.0,460.4,1139.0,519.6,0.8861,1.1308,627.2,622.3,0.26594387755102045,0.16503294231078247,0.10091093524023798
19,0.0,76.0,8.0,9.0,29.0,20.0,0.215419,0.385358,1386.0,462.2,1184.0,510.4,0.9055,1.1706,627.2,622.3,0.26307397959183676,0.17981680861320903,0.08325717097862773
20,0.0,80.0,8.0,9.0,31.0,22.0,0.221482,0.365365,1405.0,461.0,1140.0,486.0,0.9485,1.2325,627.2,622.3,0.2649872448979592,0.21902619315442706,0.045961051743532155
21,0.0,84.0,8.0,9.0,33.0,24.0,0.226974,0.324358,1175.0,430.1,986.0,481.4,0.8936,1.1917,627.2,622.3,0.3142538265306123,0.2264181263056404,0.08783570022497189
22,0.0,88.0,8.0,9.0,35.0,26.0,0.232139,0.308884,1161.0,436.8,924.0,466.1,0.9371,1.2565,627.2,622.3,0.3035714285714286,0.25100433874337125,0.052567089828057356
23,0.0,92.0,8.0,9.0,37.0,28.0,0.236989,0.295049,1104.0,423.9,924.0,468.6,0.9046,1.1948,627.2,622.3,0.324139030612245,0.24698698376988582,0.07715204684235921
24,0.0,96.0,8.0,9.0,40.0,31.0,0.241544,0.281429,1032.0,410.1,924.0,469.2,0.874,1.1169,627.2,622.3,0.3461415816326531,0.2460228185762494,0.10011876305640366
25,0.0,100.0,8.0,9.0,42.0,33.0,0.245836,0.279943,1062.0,405.6,924.0,480.3,0.8445,1.1494,627.2,622.3,0.3533163265306123,0.22818576249397393,0.12513056403663836
26,0.0,104.0,8.0,9.0,45.0,36.0,0.249876,0.255188,1170.0,418.5,924.0,482.7,0.8669,1.2662,627.2,622.3,0.332748724489796,0.22432910171942788,0.1084196227703681
27,0.0,108.0,8.0,9.0,48.0,39.0,0.253658,0.245478,1177.0,421.1,954.0,483.1,0.8716,1.2338,627.2,622.3,0.3286033163265306,0.22368632492367013,0.10491699140286048
28,0.0,112.0,8.0,9.0,51.0,42.0,0.257221,0.236817,1121.0,421.8,1143.0,496.7,0.8492,0.9808,627.2,622.3,0.3274872448979592,0.20183191386790933,0.1256553310300499
29,0.0,116.0,8.0,9.0,54.0,45.0,0.260564,0.235173,1393.0,482.8,1130.0,509.7,0.9473,1.2327,627.2,622.3,0.23022959183673475,0.18094166800578493,0.04928792383094982
30,4.0,4.0,8.0,9.0,9.0,0.0,0.0,1.0,1036.0,629.5,974.0,616.2,1.0214,1.0637,625.6,618.3,-0.006234015345268462,0.003396409509946463,-0.009630424855214925
31,4.0,8.0,8.0,9.0,10.0,1.0,0.017493,0.987532,975.0,473.3,975.0,525.8,0.9001,1.0,625.6,618.3,0.24344629156010233,0.1496037522238396,0.09384253933626274
32,4.0,12.0,8.0,9.0,11.0,2.0,0.033936,0.95772,975.0,447.5,974.0,518.4,0.8633,1.001,625.6,618.3,0.28468670076726343,0.16157205240174666,0.12311464836551678
33,4.0,16.0,8.0,9.0,11.0,2.0,0.049399,0.95772,975.0,437.6,974.0,519.9,0.8417,1.001,625.6,618.3,0.30051150895140666,0.15914604560892764,0.14136546334247901
34,4.0,20.0,8.0,9.0,12.0,3.0,0.063907,0.954119,974.0,456.8,974.0,552.5,0.8268,1.0,625.6,618.3,0.2698209718670077,0.10642083131166091,0.1634001405553468
35,4.0,24.0,8.0,9.0,13.0,4.0,0.077522,0.80102,974.0,444.2,974.0,490.5,0.9057,1.0,625.6,618.3,0.2899616368286445,0.20669577874818046,0.08326585808046405
36,4.0,28.0,8.0,9.0,14.0,5.0,0.090321,0.797819,974.0,453.7,974.0,495.3,0.9161,1.0,625.6,618.3,0.2747762148337596,0.19893255701115953,0.07584365782260005
37,4.0,32.0,8.0,9.0,15.0,6.0,0.102812,0.794403,1111.0,549.9,1097.0,519.2,1.0593,1.0128,625.6,618.3,0.12100383631713563,0.1602781821122431,-0.03927434579510747
38,4.0,36.0,8.0,9.0,16.0,7.0,0.114222,0.734962,993.0,488.2,974.0,500.3,0.9758,1.0195,625.6,618.3,0.21962915601023025,0.19084586770176282,0.028783288308467436
39,4.0,40.0,8.0,9.0,17.0,8.0,0.12496,0.731091,1034.0,496.0,974.0,508.7,0.975,1.0616,625.6,618.3,0.2071611253196931,0.1772602296619763,0.02990089565771681
40,4.0,44.0,8.0,9.0,18.0,9.0,0.135058,0.609835,1203.0,503.0,1122.0,522.2,0.9631,1.0722,625.6,618.3,0.19597186700767266,0.15542616852660507,0.040545698481067594
41,4.0,48.0,8.0,9.0,19.0,10.0,0.144564,0.607893,1005.0,477.0,1088.0,514.2,0.9276,0.9237,625.6,618.3,0.23753196930946296,0.1683648714216398,0.06916709788782316
42,4.0,52.0,8.0,9.0,20.0,11.0,0.153492,0.60402,1067.0,470.0,1050.0,519.0,0.9056,1.0162,625.6,618.3,0.2487212276214834,0.1606016496846191,0.08811957793686431
43,4.0,56.0,8.0,9.0,21.0,12.0,0.161918,0.556244,1108.0,482.5,1057.0,519.1,0.9294,1.0482,625.6,618.3,0.2287404092071611,0.1604399158984311,0.06830049330873
44,4.0,60.0,8.0,9.0,23.0,14.0,0.169816,0.479235,1227.0,500.4,1186.0,503.8,0.9932,1.0346,625.6,618.3,0.20012787723785175,0.18518518518518512,0.014942692052666628
45,4.0,64.0,8.0,9.0,24.0,15.0,0.177218,0.475977,1133.0,519.3,1028.0,505.1,1.028,1.1021,625.6,618.3,0.1699168797953965,0.18308264596474189,-0.013165766169345394
46,4.0,68.0,8.0,9.0,26.0,17.0,0.184186,0.446252,1081.0,419.4,1057.0,487.5,0.8602,1.0227,625.6,618.3,0.3296035805626599,0.21154779233381849,0.11805578822884144
47,4.0,72.0,8.0,9.0,27.0,18.0,0.190714,0.443621,1011.0,423.6,1060.0,489.6,0.8651,0.9538,625.6,618.3,0.32289002557544755,0.2081513828238718,0.11473864275157575
48,4.0,76.0,8.0,9.0,29.0,20.0,0.196815,0.385358,1052.0,432.1,1182.0,499.7,0.8647,0.89,625.6,618.3,0.3093030690537084,0.1918162704188905,0.11748679863481792
49,4.0,80.0,8.0,9.0,31.0,22.0,0.202878,0.365365,999.0,429.2,1237.0,518.3,0.8281,0.8076,625.6,618.3,0.3139386189258312,0.16173378618793466,0.15220483273789653
50,4.0,84.0,8.0,9.0,33.0,24.0,0.20837,0.324358,1137.0,457.2,1247.0,537.8,0.8502,0.9118,625.6,618.3,0.2691815856777494,0.13019569788128738,0.13898588779646204
51,4.0,88.0,8.0,9.0,35.0,26.0,0.213535,0.308884,1332.0,491.7,1230.0,522.8,0.9406,1.0829,625.6,618.3,0.21403452685421998,0.15445576580947762,0.05957876104474236
52,4.0,92.0,8.0,9.0,37.0,28.0,0.218385,0.295049,1500.0,488.7,1323.0,508.7,0.9608,1.1338,625.6,618.3,0.21882992327365736,0.1772602296619763,0.04156969361168106
53,4.0,96.0,8.0,9.0,40.0,31.0,0.22294,0.281429,1485.0,486.9,1215.0,500.1,0.9736,1.2222,625.6,618.3,0.22170716112531974,0.1911693352741387,0.030537825851181033
54,4.0,100.0,8.0,9.0,42.0,33.0,0.227232,0.279943,1559.0,480.0,1280.0,500.9,0.9583,1.218,625.6,618.3,0.23273657289002558,0.18987546498463526,0.04286110790539033
55,4.0,104.0,8.0,9.0,45.0,36.0,0.231272,0.255188,1671.0,480.4,1394.0,486.1,0.9882,1.1987,625.6,618.3,0.2320971867007673,0.2138120653404495,0.01828512136031779
56,4.0,108.0,8.0,9.0,48.0,39.0,0.235054,0.245478,1449.0,449.7,1292.0,444.6,1.0115,1.1215,625.6,618.3,0.28117007672634275,0.2809315866084424,0.00023849011790033625
57,4.0,112.0,8.0,9.0,51.0,42.0,0.238617,0.236817,1136.0,389.5,974.0,415.7,0.9369,1.1663,625.6,618.3,0.3773976982097187,0.32767265081675556,0.04972504739296313
58,4.0,116.0,8.0,9.0,54.0,45.0,0.24196,0.235173,1175.0,384.8,974.0,431.9,0.8911,1.2064,625.6,618.3,0.38491048593350385,0.3014717774543102,0.08343870847919366
59,8.0,8.0,8.0,10.0,10.0,0.0,0.0,1.0,1044.0,641.3,985.0,631.3,1.0158,1.0599,643.0,632.2,0.002643856920684362,0.0014236001265424125,0.0012202567941419495
60,8.0,12.0,8.0,10.0,11.0,1.0,0.016443,0.962258,984.0,513.5,981.0,533.8,0.962,1.0031,643.0,632.2,0.2013996889580093,0.1556469471686177,0.04575274178939159
61,8.0,16.0,8.0,10.0,11.0,1.0,0.031906,0.962258,986.0,493.1,981.0,522.2,0.9443,1.0051,643.0,632.2,0.23312597200622076,0.1739955710218285,0.05913040098439226
62,8.0,20.0,8.0,10.0,12.0,2.0,0.046414,0.959462,972.0,477.3,1042.0,526.4,0.9067,0.9328,643.0,632.2,0.25769828926905125,0.1673521037646315,0.09034618550441975
63,8.0,24.0,8.0,10.0,13.0,3.0,0.060029,0.825127,1035.0,469.4,981.0,571.0,0.822,1.055,643.0,632.2,0.2699844479004666,0.09680480860487195,0.17317963929559466
64,8.0,28.0,8.0,10.0,14.0,4.0,0.072828,0.81083,980.0,465.9,981.0,557.6,0.8356,0.999,643.0,632.2,0.27542768273716955,0.11800063271116734,0.1574270500260022
65,8.0,32.0,8.0,10.0,15.0,5.0,0.085319,0.807358,975.0,466.2,981.0,544.6,0.8561,0.9939,643.0,632.2,0.27496111975116644,0.13856374565011076,0.13639737410105568
66,8.0,36.0,8.0,10.0,16.0,6.0,0.096729,0.762107,984.0,431.1,1085.0,546.8,0.7884,0.9069,643.0,632.2,0.32954898911353026,0.1350838342296743,0.19446515488385596
67,8.0,40.0,8.0,10.0,17.0,7.0,0.107467,0.756477,993.0,493.7,984.0,546.4,0.9037,1.0091,643.0,632.2,0.23219284603421464,0.13571654539702638,0.09647630063718826
68,8.0,44.0,8.0,10.0,18.0,8.0,0.117565,0.622408,1067.0,494.4,996.0,534.5,0.9249,1.0713,643.0,632.2,0.23110419906687407,0.15453970262575145,0.07656449644112262
69,8.0,48.0,8.0,10.0,19.0,9.0,0.127071,0.620426,1128.0,518.1,1049.0,537.6,0.9636,1.0753,643.0,632.2,0.19424572317262823,0.14963619107877257,0.04460953209385565
70,8.0,52.0,8.0,10.0,20.0,10.0,0.135999,0.61803,1136.0,521.3,1179.0,548.8,0.9499,0.9635,643.0,632.2,0.1892690513219285,0.13192027839291376,0.057348772929014746
71,8.0,56.0,8.0,10.0,21.0,11.0,0.144425,0.616308,1145.0,510.7,1079.0,534.5,0.9556,1.0612,643.0,632.2,0.20575427682737168,0.15453970262575145,0.05121457420162023
72,8.0,60.0,8.0,10.0,23.0,13.0,0.152323,0.504317,1239.0,525.8,1204.0,556.8,0.9444,1.0291,643.0,632.2,0.18227060653188187,0.11926605504587173,0.06300455148601014
73,8.0,64.0,8.0,10.0,24.0,14.0,0.159725,0.500889,1318.0,544.1,1188.0,550.7,0.988,1.1094,643.0,632.2,0.153810264385692,0.12891490034799113,0.024895364037700873
