cell,low_b0,high_b0,b2,chip_atten,ours_atten,spec_atten,chip_residual,ours_residual
1,0,4,8,-0.004783163265306145,0.011891370721516914,0.0,-0.004783163265306145,0.011891370721516914
2,0,8,8,0.2216198979591838,0.16342600032138832,0.2908468994435126,-0.06922700148432881,-0.1274208991221243
3,0,12,8,0.30341198979591844,0.17322834645669283,0.28578332795157013,0.017628661844348303,-0.1125549814948773
4,0,16,8,0.3263711734693878,0.17853125502169365,0.28578332795157013,0.04058784551781769,-0.10725207292987649
5,0,20,8,0.30341198979591844,0.0988269323477422,0.15309147222681352,0.15032051756910492,-0.054264539879071316
6,0,24,8,0.29225127551020413,0.14751727462638597,0.2754027165473202,0.016848558962883953,-0.1278854419209342
7,0,28,8,0.27200255102040816,0.15314157158926556,0.270573749987441,0.001428801032967164,-0.11743217839817544
8,0,32,8,0.26530612244897966,0.10670094809577368,0.17621289732208734,0.08909322512689233,-0.06951194922631365
9,0,36,8,0.21556122448979598,0.15603406717017498,0.28526069794367803,-0.06969947345388205,-0.12922663077350305
10,0,40,8,0.21141581632653061,0.17049654507472267,0.26047087005229785,-0.04905505372576724,-0.08997432497757518
11,0,44,8,0.22751913265306123,0.16181905833199417,0.24818730722894788,-0.020668174575886655,-0.08636824889695371
12,0,48,8,0.24968112244897966,0.17387112325245047,0.26668623682776027,-0.017005114378780606,-0.0928151135753098
13,0,52,8,0.2662627551020409,0.1778884782259359,0.25516135123096495,0.011101403871075943,-0.07727287300502905
14,0,56,8,0.217155612244898,0.16888960308532852,0.26766177112655076,-0.050506158881652774,-0.09877216804122224
15,0,60,8,0.23453443877551017,0.16310461192350956,0.28916974173638665,-0.054635302960876486,-0.1260651298128771
16,0,64,8,0.23038903061224503,0.15764100915956925,0.2611827054176624,-0.030793674805417393,-0.10354169625809317
17,0,68,8,0.25701530612244905,0.16487224811184298,0.29155868031383736,-0.03454337419138831,-0.12668643220199438
18,0,72,8,0.26594387755102045,0.16503294231078247,0.2659935882324017,-4.971068138126533e-05,-0.10096064592161924
19,0,76,8,0.26307397959183676,0.17981680861320903,0.28455934887100176,-0.021485369279165,-0.10474254025779273
20,0,80,8,0.2649872448979592,0.21902619315442706,0.3009216179968822,-0.035934373098923,-0.08189542484245516
21,0,84,8,0.3142538265306123,0.2264181263056404,0.278718808232266,0.035535018298346266,-0.052300681926625625
22,0,88,8,0.3035714285714286,0.25100433874337125,0.3014273607310528,0.0021440678403757962,-0.05042302198768156
23,0,92,8,0.324139030612245,0.24698698376988582,0.2973535571357191,0.026785473476525934,-0.05036657336583328
24,0,96,8,0.3461415816326531,0.2460228185762494,0.2999146819905135,0.04622689964213955,-0.05389186341426411
25,0,100,8,0.3533163265306123,0.22818576249397393,0.2806168749754132,0.07269945155519908,-0.05243111248143928
26,0,104,8,0.332748724489796,0.22432910171942788,0.2857568558311432,0.04699186865865279,-0.061427754111715305
27,0,108,8,0.3286033163265306,0.22368632492367013,0.30031890257211147,0.028284413754419147,-0.07663257764844134
28,0,112,8,0.3274872448979592,0.20183191386790933,0.29915321789489413,0.028334027003065088,-0.0973213040269848
29,0,116,8,0.23022959183673475,0.18094166800578493,0.29497712322363123,-0.06474753138689648,-0.1140354552178463
31,4,8,8,0.24344629156010233,0.1496037522238396,0.2908468994435126,-0.04740060788341027,-0.14124314721967302
32,4,12,8,0.28468670076726343,0.16157205240174666,0.28578332795157013,-0.0010966271843066977,-0.12421127554982347
33,4,16,8,0.30051150895140666,0.15914604560892764,0.28578332795157013,0.014728180999836527,-0.1266372823426425
34,4,20,8,0.2698209718670077,0.10642083131166091,0.15309147222681352,0.11672949964019419,-0.046670640915152606
35,4,24,8,0.2899616368286445,0.20669577874818046,0.2754027165473202,0.014558920281324328,-0.06870693779913972
36,4,28,8,0.2747762148337596,0.19893255701115953,0.270573749987441,0.004202464846318588,-0.07164119297628146
37,4,32,8,0.12100383631713563,0.1602781821122431,0.17621289732208734,-0.05520906100495171,-0.01593471520984424
38,4,36,8,0.21962915601023025,0.19084586770176282,0.28526069794367803,-0.06563154193344778,-0.09441483024191522
39,4,40,8,0.2071611253196931,0.1772602296619763,0.26047087005229785,-0.05330974473260475,-0.08321064039032156
40,4,44,8,0.19597186700767266,0.15542616852660507,0.24818730722894788,-0.05221544022127522,-0.09276113870234282
41,4,48,8,0.23753196930946296,0.1683648714216398,0.26668623682776027,-0.029154267518297305,-0.09832136540612046
42,4,52,8,0.2487212276214834,0.1606016496846191,0.25516135123096495,-0.006440123609481541,-0.09455970154634585
43,4,56,8,0.2287404092071611,0.1604399158984311,0.26766177112655076,-0.03892136191938966,-0.10722185522811967
44,4,60,8,0.20012787723785175,0.18518518518518512,0.28916974173638665,-0.0890418644985349,-0.10398455655120153
45,4,64,8,0.1699168797953965,0.18308264596474189,0.2611827054176624,-0.09126582562226593,-0.07810005945292053
46,4,68,8,0.3296035805626599,0.21154779233381849,0.29155868031383736,0.038044900248822566,-0.08001088798001887
47,4,72,8,0.32289002557544755,0.2081513828238718,0.2659935882324017,0.056896437343045836,-0.05784220540852991
48,4,76,8,0.3093030690537084,0.1918162704188905,0.28455934887100176,0.024743720182706652,-0.09274307845211127
49,4,80,8,0.3139386189258312,0.16173378618793466,0.3009216179968822,0.013017000928948974,-0.13918783180894756
50,4,84,8,0.2691815856777494,0.13019569788128738,0.278718808232266,-0.009537222554516611,-0.14852311035097865
51,4,88,8,0.21403452685421998,0.15445576580947762,0.3014273607310528,-0.08739283387683283,-0.1469715949215752
52,4,92,8,0.21882992327365736,0.1772602296619763,0.2973535571357191,-0.07852363386206174,-0.1200933274737428
53,4,96,8,0.22170716112531974,0.1911693352741387,0.2999146819905135,-0.07820752086519378,-0.10874534671637481
54,4,100,8,0.23273657289002558,0.18987546498463526,0.2806168749754132,-0.04788030208538763,-0.09074140999077795
55,4,104,8,0.2320971867007673,0.2138120653404495,0.2857568558311432,-0.0536596691303759,-0.07194479049069369
56,4,108,8,0.28117007672634275,0.2809315866084424,0.30031890257211147,-0.019148825845768713,-0.01938731596366905
57,4,112,8,0.3773976982097187,0.32767265081675556,0.29915321789489413,0.07824448031482456,0.028519432921861432
58,4,116,8,0.38491048593350385,0.3014717774543102,0.29497712322363123,0.08993336270987262,0.0064946542306789645
60,8,12,8,0.2013996889580093,0.1556469471686177,0.28680726650293276,-0.08540757754492345,-0.13116031933431505
61,8,16,8,0.23312597200622076,0.1739955710218285,0.28680726650293276,-0.053681294496711995,-0.11281169548110426
62,8,20,8,0.25769828926905125,0.1673521037646315,0.265847066257072,-0.008148776988020745,-0.0984949624924405
