vector,method,pesq_nb,stoi,snr_db,samples
clean,our_enc_our_dec,3.202,0.914,-2.73,591840
clean,our_enc_chip_dec,1.101,0.127,-13.37,591840
clean,chip_enc_our_dec,1.132,0.300,-0.02,591840
clean,chip_enc_chip_dec,2.643,0.813,-2.07,591840
dam,our_enc_our_dec,3.304,0.904,-2.66,203840
dam,our_enc_chip_dec,1.064,0.131,-5.76,203840
dam,chip_enc_our_dec,1.127,0.344,-0.01,203840
dam,chip_enc_chip_dec,2.459,0.813,-2.14,203840
mark,our_enc_our_dec,2.699,0.827,-2.93,147360
mark,our_enc_chip_dec,1.042,0.102,-4.33,147360
mark,chip_enc_our_dec,1.037,0.262,-0.01,147360
mark,chip_enc_chip_dec,2.522,0.758,-2.00,147360
alert,our_enc_our_dec,2.626,0.144,-2.68,77120
alert,our_enc_chip_dec,1.240,0.147,-3.59,77120
alert,chip_enc_our_dec,2.254,0.111,-0.00,77120
alert,chip_enc_chip_dec,3.657,0.115,-2.84,77120
knox_1,our_enc_our_dec,1.334,-0.007,-1.66,20000
knox_1,our_enc_chip_dec,1.040,-0.044,-0.06,20000
knox_1,chip_enc_our_dec,1.515,-0.034,0.00,20000
knox_1,chip_enc_chip_dec,1.765,0.005,-2.68,20000
