src,dst,input,frames,frames_exact,bytes,bytes_exact
r33_fec,r34_nofec,DVSI/Vectors/tv-rc/r33/dam.bit,1275,0,8925,523
r33_fec,imbe_fec,DVSI/Vectors/tv-rc/r33/dam.bit,1275,0,22950,711
r33_fec,imbe_nofec,DVSI/Vectors/tv-rc/r33/dam.bit,1275,0,14025,2539
r34_nofec,r33_fec,DVSI/Vectors/tv-rc/r34/dam.bit,1275,0,11475,56
r34_nofec,imbe_fec,DVSI/Vectors/tv-rc/r34/dam.bit,1275,0,22950,109
r34_nofec,imbe_nofec,DVSI/Vectors/tv-rc/r34/dam.bit,1275,0,14025,471
imbe_fec,r33_fec,DVSI/Vectors/tv-rc/p25/dam.bit,1275,1,11475,643
imbe_fec,r34_nofec,DVSI/Vectors/tv-rc/p25/dam.bit,1275,0,8925,521
imbe_fec,imbe_nofec,DVSI/Vectors/tv-rc/p25/dam.bit,1275,1275,14025,14025
imbe_nofec,r33_fec,DVSI/Vectors/tv-rc/p25_nofec/dam.bit,1275,1,11475,643
imbe_nofec,r34_nofec,DVSI/Vectors/tv-rc/p25_nofec/dam.bit,1275,0,8925,521
imbe_nofec,imbe_fec,DVSI/Vectors/tv-rc/p25_nofec/dam.bit,1275,1275,22950,22950
r33_fec,r34_nofec,DVSI/Vectors/tv-rc/r33/alltone.bit,950,0,6650,472
r33_fec,imbe_fec,DVSI/Vectors/tv-rc/r33/alltone.bit,950,0,17100,114
r33_fec,imbe_nofec,DVSI/Vectors/tv-rc/r33/alltone.bit,950,0,10450,384
r34_nofec,r33_fec,DVSI/Vectors/tv-rc/r34/alltone.bit,950,0,8550,52
r34_nofec,imbe_fec,DVSI/Vectors/tv-rc/r34/alltone.bit,950,0,17100,66
r34_nofec,imbe_nofec,DVSI/Vectors/tv-rc/r34/alltone.bit,950,0,10450,170
imbe_fec,r33_fec,DVSI/Vectors/tv-rc/p25/alltone.bit,950,0,8550,88
imbe_fec,r34_nofec,DVSI/Vectors/tv-rc/p25/alltone.bit,950,0,6650,475
imbe_fec,imbe_nofec,DVSI/Vectors/tv-rc/p25/alltone.bit,950,950,10450,10450
imbe_nofec,r33_fec,DVSI/Vectors/tv-rc/p25_nofec/alltone.bit,950,0,8550,88
imbe_nofec,r34_nofec,DVSI/Vectors/tv-rc/p25_nofec/alltone.bit,950,0,6650,475
imbe_nofec,imbe_fec,DVSI/Vectors/tv-rc/p25_nofec/alltone.bit,950,950,17100,17100
r33_fec,r34_nofec,DVSI/Vectors/tv-rc/r33/sine0_4k.bit,625,0,4375,312
r33_fec,imbe_fec,DVSI/Vectors/tv-rc/r33/sine0_4k.bit,625,0,11250,115
r33_fec,imbe_nofec,DVSI/Vectors/tv-rc/r33/sine0_4k.bit,625,0,6875,138
r34_nofec,r33_fec,DVSI/Vectors/tv-rc/r34/sine0_4k.bit,625,0,5625,23
r34_nofec,imbe_fec,DVSI/Vectors/tv-rc/r34/sine0_4k.bit,625,0,11250,52
r34_nofec,imbe_nofec,DVSI/Vectors/tv-rc/r34/sine0_4k.bit,625,0,6875,21
imbe_fec,r33_fec,DVSI/Vectors/tv-rc/p25/sine0_4k.bit,625,0,5625,50
imbe_fec,r34_nofec,DVSI/Vectors/tv-rc/p25/sine0_4k.bit,625,0,4375,369
imbe_fec,imbe_nofec,DVSI/Vectors/tv-rc/p25/sine0_4k.bit,625,625,6875,6875
imbe_nofec,r33_fec,DVSI/Vectors/tv-rc/p25_nofec/sine0_4k.bit,625,0,5625,50
imbe_nofec,r34_nofec,DVSI/Vectors/tv-rc/p25_nofec/sine0_4k.bit,625,0,4375,369
imbe_nofec,imbe_fec,DVSI/Vectors/tv-rc/p25_nofec/sine0_4k.bit,625,625,11250,11250
